,date,year,month,day,time_of_day,damage_level,damage_level_sort,flight_phase,state,airport,operator,speed,aircraft_model,bird_size,species
8896,2001-08-13,2001,8,13,Day,None,1,Landing Roll,Pennsylvania,PHILADELPHIA INTL,US AIRWAYS*,140.0,B-737-400,Medium,Ring-billed gull
8897,2001-08-13,2001,8,13,Day,None,1,Approach,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DELTA AIR LINES,210.0,B-737,Small,Unknown bird - small
8898,2001-08-13,2001,8,13,Day,None,1,Approach,Maryland,BALTIMORE WASH INTL,MESA AIRLINES,138.0,CL-RJ100/200,Small,Unknown bird - small
8899,2001-08-13,2001,8,13,Day,None,1,Take-off run,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DELTA AIR LINES,,MD-80,Small,Eastern meadowlark
8900,2001-08-13,2001,8,13,Day,None,1,Take-off run,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DELTA AIR LINES,130.0,MD-88,Small,Mourning dove
8901,2001-08-13,2001,8,13,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,150.0,B-52H,Small,Mourning dove
8902,2001-08-13,2001,8,13,Day,None,1,Take-off run,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,,FOKKER F100,Small,Rock pigeon
8903,2001-08-14,2001,8,14,Dawn,Substantial,4,Climb,DC,WASHINGTON DULLES INTL ARPT,EXECUTIVE JET AVIATION,150.0,BA-125-800,Medium,Unknown bird - medium
8904,2001-08-14,2001,8,14,Day,None,1,Descent,Texas,AUSTIN-BERGSTROM INTL,BUSINESS,250.0,B-727-200,Medium,Unknown bird - medium
8905,2001-08-14,2001,8,14,Night,None,1,Climb,Arizona,PHOENIX SKY HARBOR,BUSINESS,,CL-RJ100/200,Medium,Unknown bird - medium
8906,2001-08-14,2001,8,14,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,120.0,MD-80,Small,European starling
8907,2001-08-14,2001,8,14,Day,None,1,Climb,Texas,GEORGE BUSH INTERCONTINENTAL,AMERICAN AIRLINES,250.0,FOKKER F100,Small,Unknown bird - small
8908,2001-08-14,2001,8,14,Day,None,1,Descent,Pennsylvania,GREATER PITTSBURGH,PSA AIRLINES,170.0,DORNIER 328,Small,Unknown bird - small
8909,2001-08-14,2001,8,14,Day,None,1,Descent,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,280.0,FOKKER F100,Small,Unknown bird - small
8910,2001-08-14,2001,8,14,Night,None,1,Approach,Utah,SALT LAKE CITY INTL,MILITARY,190.0,KC-135E,Small,Western meadowlark
8911,2001-08-15,2001,8,15,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,138.0,B-52H,Medium,Unknown bird or bat
8912,2001-08-15,2001,8,15,Dawn,None,1,Take-off run,Kentucky,LOUISVILLE INTL ARPT,BUSINESS,,CL-601/604,Small,Mourning dove
8913,2001-08-15,2001,8,15,Day,None,1,Approach,Illinois,CHICAGO MIDWAY INTL ARPT,BUSINESS,60.0,C-172,Small,European starling
8914,2001-08-15,2001,8,15,Day,None,1,Approach,Missouri,LAMBERT-ST LOUIS INTL,TRANS WORLD AIRLINES,136.0,MD-83,Small,Unknown bird - small
8915,2001-08-15,2001,8,15,Day,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,250.0,MD-82,Small,Unknown bird - small
8916,2001-08-15,2001,8,15,Day,None,1,Landing Roll,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,70.0,MD-82,Small,Rock pigeon
8917,2001-08-15,2001,8,15,Dusk,None,1,Landing Roll,New Jersey,ATLANTIC CITY INTL,SPIRIT AIRLINES,,DC-9,Small,Mourning dove
8918,2001-08-16,2001,8,16,Dawn,None,1,Landing Roll,Georgia,ATLANTA INTL,DELTA AIR LINES,80.0,B-757-200,Medium,Unknown bird - medium
8919,2001-08-16,2001,8,16,Day,Minor,2,Landing Roll,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,,B-727,Small,Rock pigeon
8920,2001-08-16,2001,8,16,Day,None,1,Climb,New Jersey,NEWARK LIBERTY INTL ARPT,CONTINENTAL AIRLINES,150.0,B-737-500,Small,Rock pigeon
